TotalWorkingYears_1_1_1.5	TotalWorkingYears_78_5_6.5
OverTime_2_2_0.5	OverTime_24_5_0.5
OverTime_2_2_0.5	OverTime_45_2_0.5
OverTime_2_2_0.5	OverTime_52_2_0.5
OverTime_24_5_0.5	OverTime_45_2_0.5
OverTime_24_5_0.5	OverTime_52_2_0.5
OverTime_45_2_0.5	OverTime_52_2_0.5
TrainingTimesLastYear_3_3_3.5	TrainingTimesLastYear_53_3_3.5
TrainingTimesLastYear_3_3_3.5	TrainingTimesLastYear_68_3_2.5
TrainingTimesLastYear_53_3_3.5	TrainingTimesLastYear_68_3_2.5
HourlyRate_4_4_66.0	HourlyRate_8_5_88.0
HourlyRate_4_4_66.0	HourlyRate_54_4_84.5
HourlyRate_4_4_66.0	HourlyRate_58_5_85.5
HourlyRate_4_4_66.0	HourlyRate_62_5_99.5
HourlyRate_8_5_88.0	HourlyRate_54_4_84.5
HourlyRate_8_5_88.0	HourlyRate_58_5_85.5
HourlyRate_8_5_88.0	HourlyRate_62_5_99.5
HourlyRate_54_4_84.5	HourlyRate_58_5_85.5
HourlyRate_54_4_84.5	HourlyRate_62_5_99.5
HourlyRate_58_5_85.5	HourlyRate_62_5_99.5
StockOptionLevel_12_3_1.5	StockOptionLevel_21_2_0.5
MonthlyIncome_14_5_2960.0	MonthlyIncome_40_5_3428.5
EnvironmentSatisfaction_18_4_3.5	EnvironmentSatisfaction_55_5_1.5
DistanceFromHome_22_3_21.5	DistanceFromHome_70_5_3.5
DailyRate_23_4_1011.5	DailyRate_36_4_1402.5
NumCompaniesWorked_30_4_2.5	NumCompaniesWorked_37_5_1.5
YearsSinceLastPromotion_31_5_0.5	YearsSinceLastPromotion_69_4_1.5
