JobRole_3_3_4.0	JobRole_10_3_7.0
JobRole_3_3_4.0	JobRole_39_2_6.5
JobRole_10_3_7.0	JobRole_39_2_6.5
Education_4_4_2.5	Education_40_3_1.5
DistanceFromHome_7_4_2.5	DistanceFromHome_23_2_25.5
Age_11_4_25.0	Age_41_4_30.5
Age_11_4_25.0	Age_63_5_28.5
Age_11_4_25.0	Age_66_2_23.0
Age_11_4_25.0	Age_76_4_45.5
Age_41_4_30.5	Age_63_5_28.5
Age_41_4_30.5	Age_66_2_23.0
Age_41_4_30.5	Age_76_4_45.5
Age_63_5_28.5	Age_66_2_23.0
Age_63_5_28.5	Age_76_4_45.5
Age_66_2_23.0	Age_76_4_45.5
PercentSalaryHike_24_3_13.5	PercentSalaryHike_43_5_18.0
PercentSalaryHike_24_3_13.5	PercentSalaryHike_54_4_21.0
PercentSalaryHike_24_3_13.5	PercentSalaryHike_70_5_17.0
PercentSalaryHike_43_5_18.0	PercentSalaryHike_54_4_21.0
PercentSalaryHike_43_5_18.0	PercentSalaryHike_70_5_17.0
PercentSalaryHike_54_4_21.0	PercentSalaryHike_70_5_17.0
WorkLifeBalance_25_4_1.5	WorkLifeBalance_59_4_2.5
YearsAtCompany_27_5_5.5	YearsAtCompany_60_5_9.5
YearsAtCompany_27_5_5.5	YearsAtCompany_73_5_29.0
YearsAtCompany_60_5_9.5	YearsAtCompany_73_5_29.0
DailyRate_30_4_135.0	DailyRate_68_3_1080.5
JobSatisfaction_34_5_1.5	JobSatisfaction_50_5_2.5
MonthlyRate_47_5_24794.5	MonthlyRate_78_5_14436.5
