JobRole_0_0_7.5	JobRole_41_3_5.5
DistanceFromHome_4_4_7.5	DistanceFromHome_25_5_3.5
YearsWithCurrManager_5_5_6.0	YearsWithCurrManager_11_4_2.5
YearsWithCurrManager_5_5_6.0	YearsWithCurrManager_34_4_0.5
YearsWithCurrManager_11_4_2.5	YearsWithCurrManager_34_4_0.5
WorkLifeBalance_12_5_2.5	WorkLifeBalance_38_5_2.5
WorkLifeBalance_12_5_2.5	WorkLifeBalance_52_1_3.5
WorkLifeBalance_38_5_2.5	WorkLifeBalance_52_1_3.5
MonthlyIncome_31_2_4623.0	MonthlyIncome_56_5_1946.0
EnvironmentSatisfaction_32_3_1.5	EnvironmentSatisfaction_48_5_1.5
StockOptionLevel_35_5_0.5	StockOptionLevel_53_2_2.5
