TotalWorkingYears_0_0_2.5	TotalWorkingYears_32_4_6.5
JobSatisfaction_2_2_2.5	JobSatisfaction_59_5_3.0
DailyRate_3_3_474.5	DailyRate_10_5_1267.0
DailyRate_3_3_474.5	DailyRate_16_4_291.5
DailyRate_3_3_474.5	DailyRate_18_5_617.5
DailyRate_10_5_1267.0	DailyRate_16_4_291.5
DailyRate_10_5_1267.0	DailyRate_18_5_617.5
DailyRate_16_4_291.5	DailyRate_18_5_617.5
Education_4_4_2.0	Education_25_4_1.5
HourlyRate_5_5_59.0	HourlyRate_9_4_93.0
HourlyRate_5_5_59.0	HourlyRate_23_3_90.5
HourlyRate_9_4_93.0	HourlyRate_23_3_90.5
MaritalStatus_21_2_0.5	MaritalStatus_54_3_1.5
StockOptionLevel_29_2_0.5	StockOptionLevel_39_3_0.5
MonthlyRate_30_3_13354.0	MonthlyRate_48_5_24691.0
MonthlyRate_30_3_13354.0	MonthlyRate_56_5_2381.5
MonthlyRate_48_5_24691.0	MonthlyRate_56_5_2381.5
Age_40_4_32.5	Age_55_4_55.5
MonthlyIncome_41_5_2521.0	MonthlyIncome_66_5_5157.5
