YearsAtCompany_1_1_1.5	YearsAtCompany_23_2_28.5
MonthlyRate_2_2_22613.0	MonthlyRate_19_5_24140.0
MonthlyRate_2_2_22613.0	MonthlyRate_33_5_5329.0
MonthlyRate_2_2_22613.0	MonthlyRate_53_5_12717.0
MonthlyRate_2_2_22613.0	MonthlyRate_60_4_24346.0
MonthlyRate_19_5_24140.0	MonthlyRate_33_5_5329.0
MonthlyRate_19_5_24140.0	MonthlyRate_53_5_12717.0
MonthlyRate_19_5_24140.0	MonthlyRate_60_4_24346.0
MonthlyRate_33_5_5329.0	MonthlyRate_53_5_12717.0
MonthlyRate_33_5_5329.0	MonthlyRate_60_4_24346.0
MonthlyRate_53_5_12717.0	MonthlyRate_60_4_24346.0
StockOptionLevel_3_3_0.5	StockOptionLevel_32_4_2.5
Age_4_4_33.0	Age_25_4_22.5
Age_4_4_33.0	Age_44_3_34.5
Age_4_4_33.0	Age_49_5_25.5
Age_4_4_33.0	Age_73_3_33.0
Age_25_4_22.5	Age_44_3_34.5
Age_25_4_22.5	Age_49_5_25.5
Age_25_4_22.5	Age_73_3_33.0
Age_44_3_34.5	Age_49_5_25.5
Age_44_3_34.5	Age_73_3_33.0
Age_49_5_25.5	Age_73_3_33.0
JobInvolvement_5_5_2.5	JobInvolvement_9_4_2.5
JobInvolvement_5_5_2.5	JobInvolvement_42_1_3.5
JobInvolvement_9_4_2.5	JobInvolvement_42_1_3.5
Education_10_5_3.5	Education_16_3_3.5
YearsInCurrentRole_13_5_0.5	YearsInCurrentRole_24_3_3.5
JobRole_18_4_4.5	JobRole_46_5_5.0
JobRole_18_4_4.5	JobRole_69_5_5.5
JobRole_46_5_5.0	JobRole_69_5_5.5
DistanceFromHome_26_5_6.0	DistanceFromHome_36_5_24.0
NumCompaniesWorked_45_4_3.5	NumCompaniesWorked_65_4_5.5
EnvironmentSatisfaction_52_4_1.5	EnvironmentSatisfaction_72_2_1.5
