JobRole_0_0_7.5	JobRole_21_5_4.0
EnvironmentSatisfaction_2_2_1.5	EnvironmentSatisfaction_73_4_1.5
TotalWorkingYears_4_4_6.0	TotalWorkingYears_11_4_2.5
TotalWorkingYears_4_4_6.0	TotalWorkingYears_18_3_2.5
TotalWorkingYears_11_4_2.5	TotalWorkingYears_18_3_2.5
BusinessTravel_8_5_1.5	BusinessTravel_49_5_1.5
BusinessTravel_8_5_1.5	BusinessTravel_56_1_1.5
BusinessTravel_8_5_1.5	BusinessTravel_58_3_0.5
BusinessTravel_49_5_1.5	BusinessTravel_56_1_1.5
BusinessTravel_49_5_1.5	BusinessTravel_58_3_0.5
BusinessTravel_56_1_1.5	BusinessTravel_58_3_0.5
Age_12_5_28.5	Age_40_4_36.0
Age_12_5_28.5	Age_78_4_37.0
Age_40_4_36.0	Age_78_4_37.0
MonthlyIncome_15_5_19640.5	MonthlyIncome_37_5_3984.5
MonthlyIncome_15_5_19640.5	MonthlyIncome_62_4_2942.5
MonthlyIncome_15_5_19640.5	MonthlyIncome_72_3_3012.0
MonthlyIncome_37_5_3984.5	MonthlyIncome_62_4_2942.5
MonthlyIncome_37_5_3984.5	MonthlyIncome_72_3_3012.0
MonthlyIncome_62_4_2942.5	MonthlyIncome_72_3_3012.0
YearsInCurrentRole_24_4_2.5	YearsInCurrentRole_47_3_8.0
YearsInCurrentRole_24_4_2.5	YearsInCurrentRole_61_3_2.5
YearsInCurrentRole_24_4_2.5	YearsInCurrentRole_66_2_0.5
YearsInCurrentRole_47_3_8.0	YearsInCurrentRole_61_3_2.5
YearsInCurrentRole_47_3_8.0	YearsInCurrentRole_66_2_0.5
YearsInCurrentRole_61_3_2.5	YearsInCurrentRole_66_2_0.5
NumCompaniesWorked_31_2_5.5	NumCompaniesWorked_57_2_1.5
DailyRate_33_4_1448.5	DailyRate_53_4_349.0
YearsSinceLastPromotion_41_5_3.0	YearsSinceLastPromotion_44_5_7.5
YearsSinceLastPromotion_41_5_3.0	YearsSinceLastPromotion_48_4_1.5
YearsSinceLastPromotion_44_5_7.5	YearsSinceLastPromotion_48_4_1.5
RelationshipSatisfaction_67_3_2.5	RelationshipSatisfaction_74_5_2.5
