YearsAtCompany_0_0_2.5	YearsAtCompany_52_2_11.5
MonthlyIncome_1_1_10623.0	MonthlyIncome_49_5_19475.5
MonthlyIncome_1_1_10623.0	MonthlyIncome_61_4_2580.5
MonthlyIncome_49_5_19475.5	MonthlyIncome_61_4_2580.5
Age_2_2_32.5	Age_8_5_28.0
Age_2_2_32.5	Age_11_4_21.5
Age_2_2_32.5	Age_28_5_37.5
Age_8_5_28.0	Age_11_4_21.5
Age_8_5_28.0	Age_28_5_37.5
Age_11_4_21.5	Age_28_5_37.5
MaritalStatus_3_3_1.5	MaritalStatus_44_5_1.5
EducationField_5_5_0.5	EducationField_19_4_4.5
EducationField_5_5_0.5	EducationField_25_5_3.5
EducationField_19_4_4.5	EducationField_25_5_3.5
OverTime_12_5_0.5	OverTime_24_4_0.5
OverTime_12_5_0.5	OverTime_32_1_0.5
OverTime_24_4_0.5	OverTime_32_1_0.5
JobInvolvement_42_4_2.5	JobInvolvement_58_5_1.5
MonthlyRate_47_4_5275.5	MonthlyRate_63_5_13722.5
DistanceFromHome_53_3_11.5	DistanceFromHome_54_4_4.5
