YearsAtCompany_0_0_2.5	MonthlyIncome_1_1_10623.0
YearsAtCompany_0_0_2.5	OverTime_32_1_0.5
MonthlyIncome_1_1_10623.0	Age_2_2_32.5
MonthlyIncome_1_1_10623.0	YearsSinceLastPromotion_31_2_-2.0
Age_2_2_32.5	MaritalStatus_3_3_1.5
Age_2_2_32.5	JobLevel_18_3_1.5
MaritalStatus_3_3_1.5	TotalWorkingYears_4_4_5.5
MaritalStatus_3_3_1.5	Age_11_4_21.5
TotalWorkingYears_4_4_5.5	EducationField_5_5_0.5
TotalWorkingYears_4_4_5.5	Age_8_5_28.0
EducationField_5_5_0.5	YearsSinceLastPromotion_6_6_-2.0
EducationField_5_5_0.5	YearsSinceLastPromotion_7_6_-2.0
Age_8_5_28.0	YearsSinceLastPromotion_9_6_-2.0
Age_8_5_28.0	YearsSinceLastPromotion_10_6_-2.0
Age_11_4_21.5	OverTime_12_5_0.5
Age_11_4_21.5	NumCompaniesWorked_15_5_0.5
OverTime_12_5_0.5	YearsSinceLastPromotion_13_6_-2.0
OverTime_12_5_0.5	YearsSinceLastPromotion_14_6_-2.0
NumCompaniesWorked_15_5_0.5	YearsSinceLastPromotion_16_6_-2.0
NumCompaniesWorked_15_5_0.5	YearsSinceLastPromotion_17_6_-2.0
JobLevel_18_3_1.5	EducationField_19_4_4.5
JobLevel_18_3_1.5	OverTime_24_4_0.5
EducationField_19_4_4.5	YearsInCurrentRole_20_5_1.5
EducationField_19_4_4.5	YearsSinceLastPromotion_23_5_-2.0
YearsInCurrentRole_20_5_1.5	YearsSinceLastPromotion_21_6_-2.0
YearsInCurrentRole_20_5_1.5	YearsSinceLastPromotion_22_6_-2.0
OverTime_24_4_0.5	EducationField_25_5_3.5
OverTime_24_4_0.5	Age_28_5_37.5
EducationField_25_5_3.5	YearsSinceLastPromotion_26_6_-2.0
EducationField_25_5_3.5	YearsSinceLastPromotion_27_6_-2.0
Age_28_5_37.5	YearsSinceLastPromotion_29_6_-2.0
Age_28_5_37.5	YearsSinceLastPromotion_30_6_-2.0
OverTime_32_1_0.5	DailyRate_33_2_233.0
OverTime_32_1_0.5	YearsAtCompany_52_2_11.5
DailyRate_33_2_233.0	EnvironmentSatisfaction_34_3_1.5
DailyRate_33_2_233.0	WorkLifeBalance_41_3_1.5
EnvironmentSatisfaction_34_3_1.5	YearsSinceLastPromotion_35_4_6.0
EnvironmentSatisfaction_34_3_1.5	YearsSinceLastPromotion_40_4_-2.0
YearsSinceLastPromotion_35_4_6.0	YearsSinceLastPromotion_36_5_-2.0
YearsSinceLastPromotion_35_4_6.0	StockOptionLevel_37_5_0.5
StockOptionLevel_37_5_0.5	YearsSinceLastPromotion_38_6_-2.0
StockOptionLevel_37_5_0.5	YearsSinceLastPromotion_39_6_-2.0
WorkLifeBalance_41_3_1.5	JobInvolvement_42_4_2.5
WorkLifeBalance_41_3_1.5	MonthlyRate_47_4_5275.5
JobInvolvement_42_4_2.5	YearsSinceLastPromotion_43_5_-2.0
JobInvolvement_42_4_2.5	MaritalStatus_44_5_1.5
MaritalStatus_44_5_1.5	YearsSinceLastPromotion_45_6_-2.0
MaritalStatus_44_5_1.5	YearsSinceLastPromotion_46_6_-2.0
MonthlyRate_47_4_5275.5	YearsSinceLastPromotion_48_5_-2.0
MonthlyRate_47_4_5275.5	MonthlyIncome_49_5_19475.5
MonthlyIncome_49_5_19475.5	YearsSinceLastPromotion_50_6_-2.0
MonthlyIncome_49_5_19475.5	YearsSinceLastPromotion_51_6_-2.0
YearsAtCompany_52_2_11.5	DistanceFromHome_53_3_11.5
YearsAtCompany_52_2_11.5	HourlyRate_66_3_32.0
DistanceFromHome_53_3_11.5	DistanceFromHome_54_4_4.5
DistanceFromHome_53_3_11.5	MonthlyIncome_61_4_2580.5
DistanceFromHome_54_4_4.5	YearsWithCurrManager_55_5_3.5
DistanceFromHome_54_4_4.5	JobInvolvement_58_5_1.5
YearsWithCurrManager_55_5_3.5	YearsSinceLastPromotion_56_6_-2.0
YearsWithCurrManager_55_5_3.5	YearsSinceLastPromotion_57_6_-2.0
JobInvolvement_58_5_1.5	YearsSinceLastPromotion_59_6_-2.0
JobInvolvement_58_5_1.5	YearsSinceLastPromotion_60_6_-2.0
MonthlyIncome_61_4_2580.5	YearsSinceLastPromotion_62_5_-2.0
MonthlyIncome_61_4_2580.5	MonthlyRate_63_5_13722.5
MonthlyRate_63_5_13722.5	YearsSinceLastPromotion_64_6_-2.0
MonthlyRate_63_5_13722.5	YearsSinceLastPromotion_65_6_-2.0
HourlyRate_66_3_32.0	YearsSinceLastPromotion_67_4_-2.0
HourlyRate_66_3_32.0	YearsSinceLastPromotion_68_4_-2.0
