MaritalStatus_0_0_1.5	MaritalStatus_10_4_0.5
TotalWorkingYears_1_1_1.5	TotalWorkingYears_76_5_2.0
YearsAtCompany_2_2_0.5	YearsAtCompany_22_4_31.5
YearsAtCompany_2_2_0.5	YearsAtCompany_43_2_4.5
YearsAtCompany_2_2_0.5	YearsAtCompany_65_4_5.5
YearsAtCompany_22_4_31.5	YearsAtCompany_43_2_4.5
YearsAtCompany_22_4_31.5	YearsAtCompany_65_4_5.5
YearsAtCompany_43_2_4.5	YearsAtCompany_65_4_5.5
MonthlyRate_4_3_7518.5	MonthlyRate_5_4_6792.5
DailyRate_12_5_797.0	DailyRate_51_5_1403.5
DailyRate_12_5_797.0	DailyRate_58_4_150.0
DailyRate_51_5_1403.5	DailyRate_58_4_150.0
OverTime_15_2_0.5	OverTime_57_3_0.5
OverTime_15_2_0.5	OverTime_73_3_0.5
OverTime_57_3_0.5	OverTime_73_3_0.5
StockOptionLevel_16_3_0.5	StockOptionLevel_31_5_0.5
NumCompaniesWorked_19_5_4.5	NumCompaniesWorked_29_3_5.5
NumCompaniesWorked_19_5_4.5	NumCompaniesWorked_69_5_1.5
NumCompaniesWorked_29_3_5.5	NumCompaniesWorked_69_5_1.5
MonthlyIncome_23_5_10492.0	MonthlyIncome_34_5_2310.5
MonthlyIncome_23_5_10492.0	MonthlyIncome_62_5_2053.0
MonthlyIncome_34_5_2310.5	MonthlyIncome_62_5_2053.0
Age_37_4_35.0	Age_72_2_30.5
RelationshipSatisfaction_39_5_3.0	RelationshipSatisfaction_80_3_1.5
HourlyRate_45_4_98.5	HourlyRate_54_5_33.0
JobRole_59_5_6.5	JobRole_74_4_4.0
