StockOptionLevel_1_1_0.5	StockOptionLevel_45_2_0.5
Age_2_2_32.5	Age_5_5_20.0
Age_2_2_32.5	Age_26_5_32.0
Age_2_2_32.5	Age_58_4_22.5
Age_2_2_32.5	Age_83_5_24.5
Age_5_5_20.0	Age_26_5_32.0
Age_5_5_20.0	Age_58_4_22.5
Age_5_5_20.0	Age_83_5_24.5
Age_26_5_32.0	Age_58_4_22.5
Age_26_5_32.0	Age_83_5_24.5
Age_58_4_22.5	Age_83_5_24.5
OverTime_3_3_0.5	OverTime_47_4_0.5
PercentSalaryHike_8_5_15.5	PercentSalaryHike_68_4_13.5
PercentSalaryHike_8_5_15.5	PercentSalaryHike_73_4_16.5
PercentSalaryHike_8_5_15.5	PercentSalaryHike_79_4_13.5
PercentSalaryHike_68_4_13.5	PercentSalaryHike_73_4_16.5
PercentSalaryHike_68_4_13.5	PercentSalaryHike_79_4_13.5
PercentSalaryHike_73_4_16.5	PercentSalaryHike_79_4_13.5
YearsAtCompany_13_4_0.5	YearsAtCompany_24_3_3.5
YearsAtCompany_13_4_0.5	YearsAtCompany_62_5_31.5
YearsAtCompany_24_3_3.5	YearsAtCompany_62_5_31.5
EnvironmentSatisfaction_14_5_3.5	EnvironmentSatisfaction_54_4_2.5
EnvironmentSatisfaction_14_5_3.5	EnvironmentSatisfaction_86_4_3.5
EnvironmentSatisfaction_54_4_2.5	EnvironmentSatisfaction_86_4_3.5
HourlyRate_23_2_58.0	HourlyRate_30_4_50.0
HourlyRate_23_2_58.0	HourlyRate_37_4_96.5
HourlyRate_30_4_50.0	HourlyRate_37_4_96.5
MonthlyIncome_25_4_2916.0	MonthlyIncome_59_5_3311.0
MonthlyIncome_25_4_2916.0	MonthlyIncome_67_3_2431.0
MonthlyIncome_59_5_3311.0	MonthlyIncome_67_3_2431.0
TrainingTimesLastYear_33_3_1.0	TrainingTimesLastYear_38_5_5.5
DailyRate_41_5_1052.0	DailyRate_57_3_1495.5
TotalWorkingYears_78_3_21.0	TotalWorkingYears_80_5_15.5
